title,company,location,detail,link
"[신입/경력]응용프로그램 개발(Python, Java) 채용 공고",(주)오픈이노베이션랩,대전 유성구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37741925&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
응용프로그램개발(C·C++/Python/C#外 2개 부문) 채용,(주)카이어,서울 강남구,"['경력무관', '대졸↑', '정규직·인턴직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37741450&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[이커머스 스타트업] 고객분석 데이터분석 모집(Python GA),(주)온누리아이코리아,서울 용산구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37678603&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(PHP/Python/Android/ios) 프로그램 개발자 채용공고,(주)애드픽네트워크,경기 안양시 동안구,"['경력1년↑', '학력무관', '정규직·프리랜서']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37538256&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python Application (Linux 환경) 개발 정규직 채용 공고,(주)에스프레소미디어,서울 관악구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37660074&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
삼성전자 Python Framework 개발 (화성사업장/10개월),주식회사 모두리치(MODURICH Inc.),경기 화성시,"['경력5년↑', '초대졸↑', '계약직·프리랜서']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37747176&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
금융권CRM 소프트웨어개발자 Java C# Python,(주)제네시스디지털코리아,서울 강남구,"['경력', '학력무관', '정규직', '3,400~3,600']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37758592&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020 상반기 Python/머신러닝/빅데이터外 경력사원 채용 공고,(주)마인즈랩,경기 성남시 분당구,"['경력2년↑', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37639927&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python서버 개발자 모집,iMediSync Inc.,서울 강남구,"['경력2년↑', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37671343&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"머신러닝&인공지능(AI)&Python 外 정규직, 인턴 채용(경력무관)",(주)더블유에이아이,서울 강남구,"['경력 3~10년', '대졸↑', '정규직·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37711232&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
웹개발(백엔드/Python) 채용 공고,(주)에쓰시티,서울 서초구,"['경력2년↑', '학력무관', '정규직', '300 만원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37633371&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[한전] 전기차 충전기 제어프로그램 개발 Python 경력자(SI),스타프리마(주),전남 나주시,"['경력5년↑', '초대졸↑', '기간제·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37772660&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
프로그램개발자(C·C++ / Python) 채용 - 경력,(주)오토소프트,경기 용인시 수지구,"['경력5년↑', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37741920&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
ICT융합연구소 PHP/Java·JSP/Python 채용 공고(경력직),(주)엔이씨파워,서울 금천구,"['경력 2~5년', '대졸↑', '정규직·계약직', '3,400~3,600']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37688693&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"프로그램 개발 (JAVA, Python)경력사원 모집 공고",㈜휴템,서울 금천구,"['경력3년↓', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37732940&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Java·JSP&프론트엔드&Python 기술개발 정규직 모집 평택 본사,(주)비전정보통신,경기 평택시,"['경력무관', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37611151&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
지산웨어와 함께할 Python(신입/경력)개발자를 모집합니다.,(주)지산웨어,서울 구로구,"['경력무관', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37667111&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(연3000만이상) 앱개발자/웹개발자(PHP/Python/Android/ios)채용,(주)메먼트,서울 강남구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37766066&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
C#/ visual studio / python 개발자,(주)자이트론,서울 서초구,"['경력 2~15년', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37701054&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[신입/경력]응용프로그램 개발자(Python, C#, Java) 채용 공고",(주)오픈이노베이션랩,인천 중구,"['신입·경력', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37682746&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(업계1위/복지우수) AI 사업부 Python 개발자 경력직 채용,(주)인라이플,서울 구로구,"['신입·경력', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37771712&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
신사업추진팀 Python/Nodejs/Java 1년 이상 개발자,(주)에이티엔,서울 금천구,"['경력 1~5년', '학력무관', '정규직', '3,400~3,600']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37772433&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python/PHP 개발자 모집,(주)스퍼셀,서울 종로구,"['경력3년↑', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37611302&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 상반기 HTML/Python/백엔드 경력 모집,(주)비투윈파트너스,서울 서초구,"['경력 3~5년', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37587806&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
